Mois,Vol_2019,Price_2019,Vol_2020,Price_2020,Vol_2021,Price_2021,Vol_2022,Price_2022,Vol_2023,Price_2023
January,,,60244.139,0.194,59720.333,0.304,104030.861,1.959,123847.056,7.435
February,,,82006.833,0.178,100012.639,0.526,148184.167,1.892,81961.611,7.576
March,29111.694,0.181,29111.694,0.181,96112.278,0.428,116637.694,1.906,137415.75,6.096
April,36132.833,0.188,36132.833,0.188,82881.833,0.454,117951.75,2.229,104428.639,5.83
May,8616.278,0.232,8616.278,0.232,105734.657,0.442,99015.806,3.242,105718.639,5.259
June,34489.417,0.159,34489.417,0.159,53014.543,0.773,79110.833,3.722,,
July,10245.306,0.149,10245.306,0.149,88037.118,0.77,78357.722,5.383,,
August,11805.722,0.161,11805.722,0.161,88020.371,0.796,78165.667,7.882,,
September,34494.611,0.12,34494.611,0.12,68065.429,0.672,76102.75,6.027,,
October,24072.278,0.112,24072.278,0.112,111969.943,0.765,89861.083,7.634,,
November,24089.25,0.129,24089.25,0.129,88180.457,1.179,108038.083,4.795,,
December,60388.111,0.12,60388.111,0.12,132342.314,0.84,100980.111,6.081,,
