Statistics type,Period,Years,Quarters,Month,Domain,Level 1,Level 2,Production - Issue,Production - Cancel,Production - Expire,Transaction - Issue,Transaction - Transfer,Transaction - Export,Transaction - Import,Transaction - Expire,Transaction - Cancel Own Domain,Transaction - Cancel Ex-domain
EECS-Electricity,2019-01,2019,Qtr1,Jan,FR - France,Heat,Solar,55,8 756,0,278,0,0,92 360,0,36 948,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,FR - France,Mechanical/other,Hydro/marine,3 897 065,4 782 925,0,3 108 604,3 525 674,9 076 284,2 402 349,52 949,6 299 327,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,FR - France,Mechanical/other,Wind - offshore,1 341,1 341,0,2 418,4 057,0,0,0,2 766,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,FR - France,Mechanical/other,Wind - onshore,24 153,144 989,0,26 793,3 562,265 038,5 932,0,41 565,0
EECS-Electricity,2019-01,2019,Qtr1,Jan,FR - France,Mechanical/other,Wind - unknown,1 725,110 567,0,3 062,0,0,0,0,17 335,0
EECS-Electricity,2019-02,2019,Qtr1,Feb,FR - France,Heat,Solar,123,12 558,0,36,1 094,0,0,0,123 785,0
EECS-Electricity,2019-02,2019,Qtr1,Feb,FR - France,Mechanical/other,Hydro/marine,3 835 461,3 952 536,0,2 174 288,585 516,2 137 126,2 565 648,75 074,5 090 612,0
EECS-Electricity,2019-02,2019,Qtr1,Feb,FR - France,Mechanical/other,Wind - offshore,1 212,1 212,0,0,0,0,10 403,0,10 403,0
EECS-Electricity,2019-02,2019,Qtr1,Feb,FR - France,Mechanical/other,Wind - onshore,15 649,41 788,0,17 158,13 812,4 783,94 593,0,74 181,0
EECS-Electricity,2019-02,2019,Qtr1,Feb,FR - France,Mechanical/other,Wind - unknown,695,96 825,0,1 488,0,0,57 939,0,50 940,0
EECS-Electricity,2019-03,2019,Qtr1,Mar,FR - France,Heat,Solar,195 752,35 912,0,46,0,4 374,4 374,0,975,0
EECS-Electricity,2019-03,2019,Qtr1,Mar,FR - France,Mechanical/other,Hydro/marine,4 183 252,4 646 727,0,4 508 319,334 812,3 753 541,2 887 893,32 553,5 972 124,92 500
EECS-Electricity,2019-03,2019,Qtr1,Mar,FR - France,Mechanical/other,Wind - offshore,2 032,49 267,0,0,1 599,12 600,15 917,0,4 916,0
EECS-Electricity,2019-03,2019,Qtr1,Mar,FR - France,Mechanical/other,Wind - onshore,2 065 179,636 868,0,35 002,20 271,33 614,22 976,2 035,62 466,118
EECS-Electricity,2019-03,2019,Qtr1,Mar,FR - France,Mechanical/other,Wind - unknown,997,121 138,0,1 725,0,683,22 289,0,64 222,0
EECS-Electricity,2019-04,2019,Qtr2,Apr,FR - France,Heat,Solar,200 944,14 274,0,118,0,0,0,0,0,0
EECS-Electricity,2019-04,2019,Qtr2,Apr,FR - France,Mechanical/other,Hydro/marine,3 610 950,4 743 656,0,3 327 250,341 300,834 414,797 024,29 761,6 046 278,95 000
EECS-Electricity,2019-04,2019,Qtr2,Apr,FR - France,Mechanical/other,Wind - offshore,2 071,2 071,0,3 462,3 462,0,3 384,0,0,0
EECS-Electricity,2019-04,2019,Qtr2,Apr,FR - France,Mechanical/other,Wind - onshore,1 076 750,87 193,0,11 148,6 929,5 352,591,0,25 240,0
EECS-Electricity,2019-04,2019,Qtr2,Apr,FR - France,Mechanical/other,Wind - unknown,575,4 959,0,695,0,0,0,0,0,0
