,Mois,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,janvier,8.05,9.76,9.59,9.48,10.74,10.07,9.46,7.89,11.65,9.53,11.15,9.65,9.52,10.83
1,février,9.65,10.89,7.13,8.64,10.44,9.43,9.69,11.27,8.3,11.71,12.56,11.86,11.27,10.68
2,mars,11.13,12.24,12.72,10.86,12.1,10.86,10.4,12.95,10.97,13.3,12.49,12.19,12.68,13.1
3,avril,14.42,15.85,12.76,13.3,14.7,13.4,12.8,13.73,14.13,14.08,15.7,13.18,14.06,14.3
4,mai,15.4,17.16,16.28,14.31,15.46,15.45,15.59,16.92,16.09,15.54,17.38,15.32,17.97,17.23
5,juin,18.46,18.25,18.29,17.46,18.67,18.67,18.25,19.99,19.04,19.78,18.4,19.48,20.09,20.85
6,juillet,20.65,18.45,19.63,20.96,20.83,20.83,20.22,20.73,21.45,21.76,20.65,19.82,21.83,21.16
7,août,19.19,19.74,21.23,19.92,19.84,19.84,20.61,20.76,21.42,20.84,21.33,19.51,22.1,21.2
8,septembre,16.88,18.82,18.04,17.95,15.95,15.95,19.25,16.94,19.2,18.55,18.88,18.92,18.5,22.05
9,octobre,14.73,15.52,15.52,16.21,13.22,13.22,14.6,15.95,16.08,16.39,14.93,15.31,17.83,nan
10,novembre,11.81,13.4,12.4,11.39,12.24,12.24,12.48,11.66,12.9,12.37,13.37,11.09,13.59,nan
11,décembre,8.34,11.18,10.84,10.06,11.18,11.18,10.02,10.02,11.75,11.95,11.2,10.83,11.06,nan
