Région / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (€ / MWh),Number of winners per couple region/technology
Auvergne-Rhône-Alpes,Eolien onshore,53907,53907,"0,26",-,-,3
Bourgogne-Franche-Comté,Eolien onshore,106791,106791,"0,26",-,-,4
Bretagne,Eolien onshore,92776,92776,"0,37",-,-,6
Centre-Val de Loire,Eolien onshore,152755,152755,"0,32",-,-,6
Grand Est,Eolien onshore,386054,386054,"0,42",-,-,8
Haut-de-France,Eolien onshore,462899,462898,"0,36",-,-,11
Île-de-France,Eolien onshore,12237,12237,"0,25",-,-,2
Normandie,Eolien onshore,90132,90132,"0,26",-,-,4
Nouvelle-Aquitaine,Eolien onshore,102770,102770,"0,26",-,-,5
Occitanie,Eolien onshore,173335,173335,"0,26",-,-,3
Pays de la Loire,Eolien onshore,111971,111971,"0,31",-,-,3
Provence-Alpes-Côte d'Azur,Eolien onshore,3807,3807,"0,25",-,-,2
Auvergne-Rhône-Alpes,Hydraulique,84865,84865,"0,35",-,-,6
Bourgogne-Franche-Comté,Hydraulique,16106,16106,"0,29",-,-,5
Bretagne,Hydraulique,3523,3523,"0,26",-,-,1
Centre-Val de Loire,Hydraulique,3764,3764,"0,26",-,-,1
Grand Est,Hydraulique,19133,19133,"0,32",-,-,3
Haut-de-France,Hydraulique,564,564,"0,26",-,-,1
Île-de-France,Hydraulique,143,143,"0,26",-,-,1
Normandie,Hydraulique,3669,3669,"0,29",-,-,3
Nouvelle-Aquitaine,Hydraulique,63903,63903,"0,27",-,-,5
Occitanie,Hydraulique,104932,104932,"0,31",-,-,4
Pays de la Loire,Hydraulique,1525,1525,"0,26",-,-,1
Provence-Alpes-Côte d'Azur,Hydraulique,14658,14658,"0,28",-,-,4
Auvergne-Rhône-Alpes,Solaire,6795,6795,"0,31",-,-,5
Bourgogne-Franche-Comté,Solaire,2021,2021,"0,28",-,-,1
Bretagne,Solaire,731,731,"0,28",-,-,2
Centre-Val de Loire,Solaire,2279,2279,"0,38",-,-,3
Grand Est,Solaire,3175,3175,"0,28",-,-,2
Haut-de-France,Solaire,355,355,"0,64",-,-,2
Île-de-France,Solaire,304,304,"0,29",-,-,2
Normandie,Solaire,644,644,"0,28",-,-,1
Nouvelle-Aquitaine,Solaire,23971,23971,"0,32",-,-,7
Occitanie,Solaire,20264,20264,"0,29",-,-,5
Pays de la Loire,Solaire,2972,2972,"0,29",-,-,2
Provence-Alpes-Côte d'Azur,Solaire,20203,20203,"0,32",-,-,5
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,91269,91269,"0,64",-,-,7
Bourgogne-Franche-Comté,Eolien onshore,155901,155901,"0,64",-,-,4
Bretagne,Eolien onshore,151165,151165,"0,63",-,-,4
Centre-Val de Loire,Eolien onshore,214213,214213,"0,55",-,-,5
Grand Est,Eolien onshore,645831,645831,"0,52",-,-,9
Haut-de-France,Eolien onshore,796094,796094,"0,45",-,-,13
Île-de-France,Eolien onshore,19816,19816,"0,69",-,-,1
Normandie,Eolien onshore,151916,151916,"0,5",-,-,4
Nouvelle-Aquitaine,Eolien onshore,160936,160936,"0,49",-,-,6
Occitanie,Eolien onshore,242057,242057,"0,44",-,-,4
Pays de la Loire,Eolien onshore,181753,181753,"0,55",-,-,6
Provence-Alpes-Côte d'Azur,Eolien onshore,2630,2630,"0,49",-,-,2
Auvergne-Rhône-Alpes,Hydraulique,143377,143377,"0,67",-,-,6
Bourgogne-Franche-Comté,Hydraulique,25003,25003,"0,5",-,-,3
Bretagne,Hydraulique,4324,4324,"0,45",-,-,1
Centre-Val de Loire,Hydraulique,4826,4826,"0,46",-,-,1
Grand Est,Hydraulique,25107,25107,"0,49",-,-,4
Haut-de-France,Hydraulique,753,753,"0,46",-,-,2
Île-de-France,Hydraulique,94,94,"0,45",-,-,2
Normandie,Hydraulique,5122,5122,"0,53",-,-,3
Nouvelle-Aquitaine,Hydraulique,95190,95190,"0,5",-,-,3
Occitanie,Hydraulique,160928,160928,"0,48",-,-,5
Pays de la Loire,Hydraulique,1995,1995,"0,45",-,-,3
Provence-Alpes-Côte d'Azur,Hydraulique,26724,26724,"0,61",-,-,4
Auvergne-Rhône-Alpes,Solaire,29256,29256,"0,48",-,-,4
Bourgogne-Franche-Comté,Solaire,7740,7740,"0,48",-,-,1
Bretagne,Solaire,2328,2328,"0,48",-,-,2
Centre-Val de Loire,Solaire,8003,8003,"0,58",-,-,3
Grand Est,Solaire,15061,15061,"0,49",-,-,3
Haut-de-France,Solaire,2588,2588,"0,53",-,-,3
Île-de-France,Solaire,1853,1853,"0,52",-,-,3
Normandie,Solaire,2693,2693,"0,48",-,-,1
Nouvelle-Aquitaine,Solaire,84046,84046,"0,56",-,-,6
Occitanie,Solaire,66201,66201,"0,49",-,-,5
Pays de la Loire,Solaire,9453,9453,"0,48",-,-,3
Provence-Alpes-Côte d'Azur,Solaire,64209,64209,"0,72",-,-,6
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,76710,76710,"0,41",-,-,5
Bourgogne-Franche-Comté,Eolien onshore,121132,121132,"0,55",-,-,5
Bretagne,Eolien onshore,130686,130686,"0,54",-,-,8
Centre-Val de Loire,Eolien onshore,201759,201759,"0,45",-,-,4
Grand Est,Eolien onshore,515541,515541,"0,38",-,-,9
Haut-de-France,Eolien onshore,728303,728303,"0,37",-,-,12
Île-de-France,Eolien onshore,17457,17457,"0,36",-,-,4
Normandie,Eolien onshore,128713,128713,"0,36",-,-,9
Nouvelle-Aquitaine,Eolien onshore,123275,123275,"0,35",-,-,4
Occitanie,Eolien onshore,244481,244481,"0,38",-,-,8
Pays de la Loire,Eolien onshore,152943,152943,"0,36",-,-,8
Provence-Alpes-Côte d'Azur,Eolien onshore,4221,4221,"0,35",-,-,2
Auvergne-Rhône-Alpes,Hydraulique,118351,118351,"0,43",-,-,8
Bourgogne-Franche-Comté,Hydraulique,20859,20859,"0,39",-,-,1
Bretagne,Hydraulique,2596,2596,"0,39",-,-,1
Centre-Val de Loire,Hydraulique,3585,3585,"0,47",-,-,1
Grand Est,Hydraulique,24791,24791,"0,41",-,-,4
Haut-de-France,Hydraulique,1144,1144,"0,47",-,-,1
Île-de-France,Hydraulique,458,458,"0,39",-,-,1
Normandie,Hydraulique,4956,4956,"0,39",-,-,1
Nouvelle-Aquitaine,Hydraulique,78781,78781,"0,38",-,-,6
Occitanie,Hydraulique,149888,149888,"0,33",-,-,3
Pays de la Loire,Hydraulique,2283,2283,"0,47",-,-,1
Provence-Alpes-Côte d'Azur,Hydraulique,28994,28994,"0,39",-,-,3
Auvergne-Rhône-Alpes,Solaire,54362,54362,"0,5",-,-,9
Bourgogne-Franche-Comté,Solaire,13980,13980,"0,52",-,-,1
Bretagne,Solaire,4705,4705,"0,52",-,-,2
