RÃ©gion / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (â‚¬ / MWh),Number of winners per couple region/technology
Auvergne-RhÃ´ne-Alpes,Eolien onshore,96842,96842,"2,04",-,-,5
Bourgogne-Franche-ComtÃ©,Eolien onshore,163676,163676,"1,76",-,-,2
Bretagne,Eolien onshore,114101,114101,"2,05",-,-,4
Centre-Val de Loire,Eolien onshore,183895,183895,"2,02",-,-,2
Grand Est,Eolien onshore,601399,601399,"1,99",-,-,6
Haut-de-France,Eolien onshore,750855,750855,"1,92",-,-,10
ÃŽle-de-France,Eolien onshore,16592,16592,"2,06",-,-,3
Normandie,Eolien onshore,137425,137425,"1,9",-,-,4
Nouvelle-Aquitaine,Eolien onshore,180422,180422,"1,84",-,-,6
Occitanie,Eolien onshore,285412,285412,"1,79",-,-,4
Pays de la Loire,Eolien onshore,149438,149438,"1,77",-,-,4
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,13837,13837,"1,8",-,-,3
Auvergne-RhÃ´ne-Alpes,Hydraulique,156199,156199,"1,89",-,-,7
Bourgogne-Franche-ComtÃ©,Hydraulique,28405,28405,"1,84",-,-,1
Bretagne,Hydraulique,5136,5136,"1,9",-,-,2
Centre-Val de Loire,Hydraulique,5046,5046,"1,9",-,-,1
Grand Est,Hydraulique,39252,39252,"1,9",-,-,1
Haut-de-France,Hydraulique,1380,1380,"1,9",-,-,1
ÃŽle-de-France,Hydraulique,340,340,"2,05",-,-,1
Normandie,Hydraulique,6208,6208,"1,9",-,-,1
Nouvelle-Aquitaine,Hydraulique,116627,116627,"1,9",-,-,3
Occitanie,Hydraulique,213851,213851,"1,89",-,-,5
Pays de la Loire,Hydraulique,2561,2561,"1,9",-,-,1
Provence-Alpes-CÃ´te d'Azur,Hydraulique,23004,23004,"1,9",-,-,2
Auvergne-RhÃ´ne-Alpes,Solaire,39392,39392,2,-,-,5
Bourgogne-Franche-ComtÃ©,Solaire,8754,8754,"1,95",-,-,1
Bretagne,Solaire,3895,3895,"2,08",-,-,2
Centre-Val de Loire,Solaire,10638,10638,"2,11",-,-,4
Grand Est,Solaire,12734,12734,"1,95",-,-,2
Haut-de-France,Solaire,4568,4568,"2,28",-,-,2
ÃŽle-de-France,Solaire,1594,1594,"2,15",-,-,4
Normandie,Solaire,2253,2253,"2,08",-,-,1
Nouvelle-Aquitaine,Solaire,131012,131012,"2,04",-,-,7
Occitanie,Solaire,120083,120083,"2,05",-,-,5
Pays de la Loire,Solaire,9741,9741,"1,97",-,-,3
Provence-Alpes-CÃ´te d'Azur,Solaire,108544,108544,"2,07",-,-,6
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,104905,104905,"1,99",-,-,6
Bourgogne-Franche-ComtÃ©,Eolien onshore,227595,227595,2,-,-,3
Bretagne,Eolien onshore,182087,182087,"1,85",-,-,6
Centre-Val de Loire,Eolien onshore,303674,303674,"1,88",-,-,5
Grand Est,Eolien onshore,1034268,1034268,"1,84",-,-,10
Haut-de-France,Eolien onshore,1451545,1451545,"1,8",-,-,13
ÃŽle-de-France,Eolien onshore,28973,28973,"1,9",-,-,3
Normandie,Eolien onshore,238632,238632,"1,76",-,-,4
Nouvelle-Aquitaine,Eolien onshore,213218,213218,"1,78",-,-,8
Occitanie,Eolien onshore,334482,334482,"1,77",-,-,5
Pays de la Loire,Eolien onshore,213556,213556,"1,79",-,-,5
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,18849,18849,"1,78",-,-,2
Auvergne-RhÃ´ne-Alpes,Hydraulique,128086,128086,"1,89",-,-,7
Bourgogne-Franche-ComtÃ©,Hydraulique,32967,32967,"1,87",-,-,5
Bretagne,Hydraulique,3572,3572,"2,1",-,-,1
Centre-Val de Loire,Hydraulique,3484,3484,"1,84",-,-,1
Grand Est,Hydraulique,40554,40554,"1,84",-,-,1
Haut-de-France,Hydraulique,1432,1432,"1,84",-,-,1
ÃŽle-de-France,Hydraulique,556,556,"1,84",-,-,1
Normandie,Hydraulique,3877,3877,"1,84",-,-,1
Nouvelle-Aquitaine,Hydraulique,88206,88206,"1,84",-,-,2
Occitanie,Hydraulique,151467,151467,"1,84",-,-,2
Pays de la Loire,Hydraulique,2457,2457,"1,84",-,-,1
