Mois,Qualité,Territoire,Production totale,Production nucléaire,Production thermique totale,Production thermique charbon,Production thermique fioul,Production thermique gaz,Production hydraulique,Production éolien,Production solaire,Production bioénergies,Consommation totale,Solde exportateur,Echanges export,Echanges import,Echanges avec le Royaume-Uni,Echanges avec l'Espagne,Echanges avec l'Italie,Echanges avec la Suisse,Echanges avec l'Allemagne et la Belgique,Pompage,Stockage batterie,Déstockage batterie,Eolien terrestre,Eolien offshore
2019-03,Données définitives,Grand-Est,9402,6889,523,,,,725,1090,85,88,4182,-5166,,,,,,,,-53,,,,
2019-03,Données définitives,Nouvelle-Aquitaine,5414,4167,153,,,,382,251,310,149,3920,-1493,,,,,,,,,,,,
2019-03,Données définitives,Aix Marseille,556,,427,,,,76,7,24,21,1417,860,,,,,,,,,,,,
2019-03,Données définitives,Auvergne-Rhône-Alpes,10380,7488,171,,,,2358,158,111,91,5997,-3974,,,,,,,,-367,,,,
2019-03,Données définitives,Bourgogne-Franche-Comté,523,,100,,,,119,236,32,35,1956,1443,,,,,,,,-5,,,,
2019-03,Données définitives,Bordeaux,33,,20,,,,,,4,9,455,421,,,,,,,,,,,,
2019-03,Données définitives,Bretagne,540,,185,,,,44,254,20,35,2116,1580,,,,,,,,-4,,,,
2019-03,Données définitives,Brest,41,,37,,,,,,,4,107,65,,,,,,,,,,,,
2019-03,Données définitives,Clermont Ferrand,10,,9,,,,,,0,,197,177,,,,,,,,,,,,
2019-03,Données définitives,Centre-Val de Loire,7691,7221,60,,,,9,329,29,40,1724,-5967,,,,,,,,,,,,
2019-03,Données définitives,Dijon,24,,21,,,,,0,0,3,73,48,,,,,,,,,,,,
2019-03,Données définitives,Strasbourg,78,,0,,,,74,,0,4,309,230,,,,,,,,,,,,
2019-03,Données définitives,France,50322,35497,3276,16,90,3169,5152,4425,1108,862,48856,-114,6505,649,-1453,-1217,-1463,-740,-300,-567,,,,
2019-03,Données définitives,Grenoble,87,,8,,,,77,,0,1,345,258,,,,,,,,,,,,
2019-03,Données définitives,Grand Lyon,147,,58,,,,83,,2,2,581,433,,,,,,,,,,,,
2019-03,Données définitives,Nancy,46,,42,,,,1,,,2,125,79,,,,,,,,,,,,
2019-03,Données définitives,Grand Paris,183,,155,,,,,0,0,26,3515,3332,,,,,,,,,,,,
2019-03,Données définitives,Ile-de-France,404,,265,,,,7,19,8,104,6477,6072,,,,,,,,,,,,
2019-03,Données définitives,Occitanie,2662,1125,58,,,,786,380,239,72,3274,739,,,,,,,,-128,,,,
2019-03,Données définitives,Lille,82,,67,,,,,,0,14,639,556,,,,,,,,,,,,
2019-03,Données définitives,Metz,1,,0,,,,0,,0,1,5,4,,,,,,,,,,,,
2019-03,Données définitives,Montpellier,11,,7,,,,0,,1,2,223,211,,,,,,,,,,,,
2019-03,Données définitives,Rouen,80,,59,,,,,,,21,316,235,,,,,,,,,,,,
2019-03,Données définitives,Nantes,47,,45,,,,,,0,0,355,308,,,,,,,,,,,,
2019-03,Données définitives,Nice,30,,0,,,,28,,0,0,516,486,,,,,,,,,,,,
2019-03,Données définitives,Normandie,5981,5369,311,,,,12,236,13,38,2597,-3384,,,,,,,,,,,,
2019-03,Données définitives,Hauts-de-France,5309,3236,755,,,,1,1208,13,94,4629,-679,,,,,,,,0,,,,
2019-03,Données définitives,Orléans,21,,12,,,,,,0,9,153,131,,,,,,,,,,,,
2019-03,Données définitives,PACA,1389,,463,,,,648,10,189,76,3459,2078,,,,,,,,-8,,,,
2019-03,Données définitives,Pays-de-la-Loire,568,0,226,,,,3,250,52,36,2528,1959,,,,,,,,,,,,
2019-03,Données définitives,Rennes,39,,32,,,,,,,7,254,213,,,,,,,,,,,,
2019-03,Données définitives,Saint Etienne,19,,16,,,,,,0,2,249,229,,,,,,,,,,,,
2019-03,Données définitives,Toulouse,12,,5,,,,3,,1,1,344,331,,,,,,,,,,,,
2019-03,Données définitives,Toulon,12,,,,,,,,1,10,160,146,,,,,,,,,,,,
2019-03,Données définitives,Tours,15,,10,,,,,0,0,4,118,102,,,,,,,,,,,,
2019-04,Données définitives,Grand-Est,7917,6027,590,,,,620,501,96,81,3711,-4164,,,,,,,,-42,,,,
2019-04,Données définitives,Nouvelle-Aquitaine,4608,3713,9,,,,306,130,314,134,3441,-1166,,,,,,,,,,,,
2019-04,Données définitives,Aix Marseille,541,,417,,,,85,6,22,8,1354,812,,,,,,,,,,,,
2019-04,Données définitives,Auvergne-Rhône-Alpes,8233,5920,54,,,,1945,119,114,80,5228,-2704,,,,,,,,-297,,,,
